Data_size = 0x1000
Data_type = 0x25
W = 8
H = 8
C = 32
Line_stride = 0x100
Surface_stride = 0x800
Precision = INT16
0x35 0x56 0x85 0x85 0x85 0x85 0x85 0x63 0x63 0x63 0x85 0x63 0x63 0x63 0x63 0x63 0x63 0x63 0x63 0x85 0x85 0x63 0x63 0x63 0x63 0x63 0x63 0x63 0x63 0x63 0x63 0x63 
0x35 0x54 0x63 0x63 0x63 0x83 0x63 0x63 0x63 0x63 0x83 0x83 0x63 0x83 0x83 0x83 0x83 0x63 0x63 0x63 0x83 0x63 0x63 0x63 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 
0x34 0x53 0x83 0x63 0x83 0x83 0x63 0x63 0x83 0x83 0x83 0x63 0x63 0x63 0x63 0x83 0x83 0x63 0x83 0x63 0x63 0x63 0x63 0x63 0x83 0x83 0x83 0x63 0x63 0x63 0x63 0x83 
0x33 0x53 0x83 0x63 0x63 0x63 0x83 0x63 0x63 0x63 0x83 0x63 0x63 0x63 0x63 0x83 0x86 0x83 0x87 0x63 0x63 0x83 0x83 0x63 0x63 0x83 0x83 0x63 0x83 0x83 0x83 0x83 
0x33 0x53 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x63 0x83 0x83 0x83 0xac 0xac 0x83 0x83 0x83 0x83 0xac 0xac 0x83 0x83 0x83 0x83 0x83 0x83 0xac 0x83 0x63 0x83 0x83 
0x32 0x52 0x83 0x83 0x83 0x83 0x63 0x83 0x83 0x83 0xac 0xac 0x83 0x83 0xac 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x63 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 
0x33 0x53 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x63 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 0x83 
0x33 0x53 0x85 0x06 0x63 0xac 0xf4 0x9e 0xac 0xac 0xac 0xac 0x7e 0xac 0x7e 0x7e 0x7e 0x7e 0xac 0x7e 0xac 0xac 0xac 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 
0x31 0x52 0x06 0xac 0xac 0xf4 0x9e 0x7e 0x7e 0xac 0xac 0xac 0x7e 0x7e 0xac 0xac 0x7e 0xac 0x7e 0xac 0xac 0xac 0xac 0xac 0xac 0x7e 0xac 0x7e 0x7e 0xac 0xac 0xac 
0x32 0x52 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 
0x32 0x52 0xac 0xac 0xac 0x83 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0x83 0xac 0xac 0xac 0x63 0x06 0x85 0xac 0xf4 0x9e 0xac 0xac 0x7e 0x7e 0x7e 0xac 
0x31 0x52 0x06 0xf4 0xac 0x9e 0xac 0xac 0x7e 0x7e 0x7e 0x7e 0xac 0x7e 0x7e 0x7e 0x7e 0xac 0xac 0xac 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 0x7e 
0x32 0x51 0x06 0xf4 0x9e 0xac 0xac 0xac 0x7e 0x7e 0xac 0xac 0xac 0x7e 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0x7e 0xac 0xac 0xac 
0x32 0x52 0xac 0xac 0xac 0xac 0xac 0x83 0x06 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 
0x32 0x52 0xac 0xac 0x06 0x83 0x83 0xf4 0x63 0xac 0xac 0xac 0xac 0x9e 0x7e 0x7e 0xac 0x7e 0x7e 0xac 0x7e 0x7e 0xac 0xac 0x7e 0x7e 0x7e 0x7e 0xac 0x7e 0x7e 0x7e 
0x31 0x52 0x06 0xac 0xf4 0x9e 0x7e 0x7e 0x7e 0x7e 0xac 0x7e 0xac 0xac 0xac 0xac 0x7e 0xac 0xac 0x7e 0x7e 0x7e 0xac 0xac 0xac 0x7e 0xac 0xac 0xac 0xac 0xac 0xac 
0x32 0x52 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x06 0xac 0xac 0xac 0xac 0xac 
0x32 0x52 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0xac 0x83 0x06 0x63 0xac 0xac 0xac 0xf4 0x9e 
